rank,name,genre,country,formed,split,fans,band_link,img_link
164,Avenged Sevenfold,"metalcore, heavy, alternative",USA,1999,-,565,band.php?band_id=3355,../images/bands/3355.jpg
165,Ihsahn,"extreme progressive, avantgarde",Norway,2005,-,561,band.php?band_id=1937,../images/bands/1937.jpg
166,Kataklysm,death,Canada,1991,-,561,band.php?band_id=283,../images/bands/283.jpg
167,Guns N' Roses,hard rock,USA,1985,-,558,band.php?band_id=874,../images/bands/874.jpg
168,Death Angel,bay area thrash,USA,1982,-,556,band.php?band_id=289,../images/bands/289.jpg
169,Borknagar,"melodic black, progressive black",Norway,1995,-,554,band.php?band_id=55,../images/bands/55.jpg
170,Destruction,teutonic thrash,Germany,1983,-,552,band.php?band_id=262,../images/bands/262.jpg
171,Sirenia,symphonic gothic,Norway,2001,-,551,band.php?band_id=281,../images/bands/281.jpg
172,Dark Funeral,black,Sweden,1993,-,548,band.php?band_id=79,../images/bands/79.jpg
173,Between The Buried And Me,progressive metalcore,USA,2000,-,537,band.php?band_id=1077,../images/bands/1077.jpg
174,Vektor,"technical thrash, progressive thrash",USA,2002,-,524,band.php?band_id=3669,../images/bands/3669.jpg
175,W.A.S.P.,heavy,USA,1982,-,524,band.php?band_id=293,../images/bands/293.jpg
176,After Forever,"symphonic gothic, symphonic progressive",The Netherlands,1995,2009,521,band.php?band_id=23,../images/bands/23.jpg
177,Mors Principium Est,"gothenburg, melodic death",Finland,1999,-,519,band.php?band_id=493,../images/bands/493.jpg
178,Immolation,death,USA,1986,-,506,band.php?band_id=122,../images/bands/122.jpg
179,Norther,extreme power,Finland,1996,2012,504,band.php?band_id=133,../images/bands/133.jpg
180,Arkona,pagan folk,Russia,2002,-,503,band.php?band_id=2065,../images/bands/2065.jpg
181,Powerwolf,power,Germany,2003,-,499,band.php?band_id=2630,../images/bands/2630.jpg
182,The Gathering,"doom, death doom, atmospheric gothic, experimental rock",The Netherlands,1989,-,495,band.php?band_id=187,../images/bands/187.jpg
183,Isis,"post-metal, atmospheric sludge",USA,1997,2010,492,band.php?band_id=517,../images/bands/517.jpg
184,As I Lay Dying,melodic metalcore,USA,2001,-,491,band.php?band_id=1309,../images/bands/1309.jpg
185,Diablo Swing Orchestra,"avantgarde, symphonic",Sweden,2003,-,489,band.php?band_id=2235,../images/bands/2235.jpg
186,Soulfly,"groove thrash, nu",USA,1997,-,488,band.php?band_id=943,../images/bands/943.jpg
